ID,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
3075,ICAD,icad inc.,3.75,$60.17M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/icad
3076,IEP,Icahn Enterprises L.P.,54.98,$7.96B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/iep
3077,ICFI,"ICF International, Inc.",51.45,$975.37M,2006,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/icfi
3078,ICHR,Ichor Holdings,17.66,$538.4M,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/ichr
3079,IBN,ICICI Bank Limited,8.46,$24.61B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/ibn
3080,ICLR,ICON plc,84,$4.65B,1998,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/iclr
3081,ICON,"Iconix Brand Group, Inc.",8.1,$454.64M,n/a,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/icon
3082,ICUI,"ICU Medical, Inc.",152.25,$2.97B,1992,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/icui
3083,IDA,"IDACORP, Inc.",82.77,$4.17B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ida
3084,IPWR,Ideal Power Inc.,2.43,$23.23M,2013,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ipwr
3085,INVE,"Identiv, Inc.",4.92,$54.54M,n/a,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/inve
3086,IDRA,"Idera Pharmaceuticals, Inc.",1.67,$246.58M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/idra
3087,IEX,IDEX Corporation,92.43,$7.05B,1989,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/iex
3088,IDXX,"IDEXX Laboratories, Inc.",143.06,$12.59B,1991,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/idxx
3089,IDT,IDT Corporation,19.62,$452.51M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/idt
3090,IEC,IEC Electronics Corp.,3.55,$36.48M,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/iec
3091,IESC,"IES Holdings, Inc.",19.6,$420.81M,n/a,Capital Goods,Engineering & Construction,http://www.nasdaq.com/symbol/iesc
3092,IROQ,"IF Bancorp, Inc.",20.4,$80.38M,2011,Finance,Savings Institutions,http://www.nasdaq.com/symbol/iroq
3093,IFMK,iFresh Inc.,20.1395,$288.06M,n/a,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/ifmk
3094,IRG,"Ignite Restaurant Group, Inc.",0.43,$11.3M,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/irg
3095,RXDX,"Ignyta, Inc.",8.7,$362.38M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rxdx
3096,INFO,IHS Markit Ltd.,40.08,$16.42B,2014,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/info
3097,IIVI,II-VI Incorporated,37.3,$2.33B,1987,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/iivi
3098,KANG,"iKang Healthcare Group, Inc.",16.83,$1.16B,2014,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/kang
3099,IKNX,Ikonics Corporation,10.25,$20.69M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/iknx
3100,ILG,"ILG, Inc",19.09,$2.55B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/ilg
3101,ITW,Illinois Tool Works Inc.,131.68,$45.63B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/itw
3102,ILMN,"Illumina, Inc.",160,$23.41B,2000,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/ilmn
3103,ISNS,"Image Sensing Systems, Inc.",3.25,$16.47M,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/isns
3104,IMAX,Imax Corporation,32.75,$2.19B,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/imax
3105,IMMR,Immersion Corporation,11.49,$331.31M,1999,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/immr
3106,ICCC,ImmuCell Corporation,5.72,$27.73M,1987,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/iccc
3107,IMDZ,Immune Design Corp.,5.5,$139.75M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/imdz
3108,IMNP          ,Immune Pharmaceuticals Inc.,0.1743,$30.24M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/imnp
3109,IMUC,"ImmunoCellular Therapeutics, Ltd.",2.6,$8.96M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/imuc
3110,IMUC.WS,"ImmunoCellular Therapeutics, Ltd.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/imuc.ws
3111,IMGN,"ImmunoGen, Inc.",2.71,$236.59M,1989,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/imgn
3112,IMMU,"Immunomedics, Inc.",4.89,$518.73M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/immu
3113,IMH,"Impac Mortgage Holdings, Inc.",13.96,$223.58M,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/imh
3114,IPXL,"Impax Laboratories, Inc.",14.05,$1.04B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ipxl
3115,IMO,Imperial Oil Limited,31.54,$26.73B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/imo
3116,IMPV,"Imperva, Inc.",41.95,$1.38B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/impv
3117,PI,"Impinj, Inc.",29.99,$609.02M,2016,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/pi
3118,IMMY,"Imprimis Pharmaceuticals, Inc.",2.5,$46.57M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/immy
3119,INCR,"INC Research Holdings, Inc.",55.05,$2.95B,2014,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/incr
3120,IOT,"Income Opportunity Realty Investors, Inc.",9.5175,$39.67M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/iot
3121,INCY,Incyte Corporation,131.21,$24.85B,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/incy
3122,ICD,"Independence Contract Drilling, Inc.",5.61,$210.97M,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/icd
3123,IHC,Independence Holding Company,18.1,$299.28M,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/ihc
3124,IRT,"Independence Realty Trust, Inc.",9.23,$636.83M,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/irt
3125,INDB,Independent Bank Corp.,65.05,$1.76B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/indb
3126,IBCP,Independent Bank Corporation,21.975,$467.15M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ibcp
3127,IBTX,"Independent Bank Group, Inc",63.95,$1.21B,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/ibtx
3128,IFN,"India Fund, Inc. (The)",23.27,$672.23M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ifn
3129,IGC,India Globalization Capital Inc.,0.369,$10.19M,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/igc
