,id,Symbol,Name,LastSale,MarketValue,IPOyear,Sector,Industry,Summary Quote
42,43,AXAS,Abraxas Petroleum Corporation,2.16,$353.9M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
43,44,ACIU,AC Immune SA,11.85,$656.44M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
44,45,ACIA,"Acacia Communications, Inc.",54.04,$2.02B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
45,46,ACTG,Acacia Research Corporation,5.8,$292.69M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
46,47,ACHC,"Acadia Healthcare Company, Inc.",44.94,$3.93B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
47,48,ACAD,ACADIA Pharmaceuticals Inc.,38.88,$4.71B,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
48,49,AKR,Acadia Realty Trust,32.62,$2.73B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
49,50,ACST,"Acasti Pharma, Inc.",1.2,$12.85M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
50,51,AXDX,"Accelerate Diagnostics, Inc.",26.6,$1.37B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
51,52,XLRN,Acceleron Pharma Inc.,25.17,$950.08M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
52,53,ACN,Accenture plc,123.43,$79.48B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
53,54,ANCX,Access National Corporation,27.54,$292.92M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
54,55,ACCO,Acco Brands Corporation,14.1,$1.51B,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
55,56,ARAY,Accuray Incorporated,5.45,$451.79M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
56,57,ACRX,"AcelRx Pharmaceuticals, Inc.",3,$136M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
57,58,ACET,Aceto Corporation,15.36,$462.55M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
