,_id,ltable_id,rtable_id,id_id_exm,id_id_anm,id_id_lev_dist,id_id_lev_sim,Name_Name_jac_qgm_3_qgm_3,Name_Name_cos_dlm_dc0_dlm_dc0,Name_Name_jac_dlm_dc0_dlm_dc0,Name_Name_mel,Name_Name_lev_dist,Name_Name_lev_sim,Name_Name_nmw,Name_Name_sw,Country_Country_jac_qgm_3_qgm_3,Country_Country_cos_dlm_dc0_dlm_dc0,Country_Country_jac_dlm_dc0_dlm_dc0,Country_Country_mel,Country_Country_lev_dist,Country_Country_lev_sim,Country_Country_nmw,Country_Country_sw,Industry_Industry_jac_qgm_3_qgm_3,Industry_Industry_cos_dlm_dc0_dlm_dc0,Industry_Industry_jac_dlm_dc0_dlm_dc0,Industry_Industry_mel,Industry_Industry_lev_dist,Industry_Industry_lev_sim,Industry_Industry_nmw,Industry_Industry_sw,MarketValue_ratio,is_match,predicted
131,3138,1379,350,0.0,0.25380710659898476,3.0,0.25,0.6296296296296297,0.40824829046386296,0.25,0.9478260869565217,6.0,0.7391304347826086,11.0,17.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.44,0.0,0.0,0.8770562770562771,10.0,0.5238095238095238,1.0,10.0,0.8884364979772309,0,1
132,3150,1379,351,0.0,0.2545322697606962,3.0,0.25,0.14285714285714285,0.40824829046386296,0.25,0.7800653594771242,17.0,0.37037037037037035,0.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.04,0.0,0.0,0.49242424242424243,10.0,0.09090909090909094,1.0,1.0,12.681269540495808,0,0
133,3194,1833,355,0.0,0.1936715766503001,4.0,0.0,0.6551724137931034,0.7745966692414834,0.6,0.952,6.0,0.76,13.0,19.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.18181818181818182,0.0,0.0,0.5098039215686274,13.0,0.2777777777777778,4.0,5.0,0.788367870162844,0,1
134,3232,645,359,0.0,0.5565891472868216,3.0,0.0,0.7419354838709677,0.8660254037844387,0.75,0.9703703703703704,4.0,0.8518518518518519,19.0,23.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.24444444444444444,0.40824829046386296,0.25,0.8208712121212122,16.0,0.4666666666666667,6.0,12.0,1.1755867856261557,0,1
135,3240,2844,360,0.0,0.12658227848101267,4.0,0.0,0.6551724137931034,0.5773502691896258,0.4,0.952,6.0,0.76,13.0,19.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.5119047619047619,24.0,0.19999999999999996,4.0,5.0,2.581152562356768,0,1
136,3269,2813,365,0.0,0.1297547102737291,4.0,0.0,0.21875,0.5,0.25,0.85,21.0,0.25,-14.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.6296296296296297,0.4999999999999999,0.3333333333333333,0.9055580126787557,4.0,0.8095238095238095,15.0,15.0,0.9476741327747812,0,1
137,3320,19,372,0.0,0.051075268817204256,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.4,0.7071067811865475,0.5,0.41919191919191917,5.0,0.5454545454545454,1.0,6.0,0.7260334129756941,0,1
138,3329,19,373,0.0,0.05093833780160861,3.0,0.0,0.2558139534883721,0.35355339059327373,0.2,0.8666666666666667,16.0,0.4666666666666667,4.0,12.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.07894736842105263,0.0,0.0,0.5588235294117647,28.0,0.17647058823529416,-22.0,5.0,3.0799277712723563,0,0
139,3336,1181,374,0.0,0.3166807790008468,4.0,0.0,0.4444444444444444,0.0,0.0,0.9142857142857143,6.0,0.5714285714285714,2.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.24390243902439024,0.40824829046386296,0.25,0.6278998778998779,13.0,0.5,8.0,10.0,0.9626901002622033,0,1
140,3362,2113,376,0.0,0.1779460482725982,4.0,0.0,0.2682926829268293,0.0,0.0,0.7386677229814484,19.0,0.2962962962962963,1.0,11.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.509704415954416,27.0,0.15625,-14.0,2.0,68.89255145338487,0,0
141,3394,2933,384,0.0,0.1309239686327992,4.0,0.0,0.3076923076923077,0.7071067811865475,0.5,0.888888888888889,5.0,0.4444444444444444,-1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.475,0.4999999999999999,0.3333333333333333,0.8960317460317461,8.0,0.7142857142857143,19.0,20.0,0.9179347594049234,0,1
142,3514,3067,398,0.0,0.12976850342354096,3.0,0.25,0.42857142857142855,0.8164965809277259,0.6666666666666666,0.9,12.0,0.5,0.0,12.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.04081632653061224,0.0,0.0,0.5615600448933783,21.0,0.2222222222222222,-1.0,4.0,0.9127384168949243,0,1
143,3589,1380,406,0.0,0.2942028985507247,4.0,0.0,0.5714285714285714,0.8164965809277259,0.6666666666666666,0.9411764705882353,5.0,0.7058823529411764,7.0,12.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,0.03571428571428571,0.0,0.0,0.6829004329004329,10.0,0.2857142857142857,0.0,3.0,0.788801921597206,0,1
144,3622,2793,410,0.0,0.1467955603293949,4.0,0.0,0.4444444444444444,0.0,0.0,0.9142857142857143,6.0,0.5714285714285714,2.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.13725490196078433,0.2886751345948129,0.16666666666666666,0.5989533342474519,28.0,0.28205128205128205,-7.0,10.0,0.7016869108402364,0,1
145,3626,744,411,0.0,0.5524193548387097,3.0,0.0,0.4,0.7071067811865475,0.5,0.8903225806451613,17.0,0.4516129032258065,-3.0,14.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.2571428571428571,0.35355339059327373,0.2,0.4920634920634921,18.0,0.3571428571428571,-6.0,9.0,0.8920192164862752,0,1
146,3629,2879,412,0.0,0.1431052448766933,4.0,0.0,0.5,0.0,0.0,0.925,6.0,0.625,4.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.4753787878787879,18.0,0.18181818181818177,-2.0,3.0,1.1949633643797077,0,1
147,3630,2880,413,0.0,0.14340277777777777,4.0,0.0,0.4444444444444444,0.0,0.0,0.9142857142857143,6.0,0.5714285714285714,2.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.6153846153846154,0.8164965809277259,0.6666666666666666,0.7632575757575758,6.0,0.7272727272727273,10.0,16.0,1.1197777685535137,0,1
148,3631,2583,416,0.0,0.16105303910181956,4.0,0.0,0.5294117647058824,0.0,0.0,0.9386243386243386,7.0,0.7407407407407407,14.0,20.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.3333333333333333,0.7071067811865475,0.5,0.8758620689655172,18.0,0.3793103448275862,-7.0,11.0,0.9796156887538698,0,1
149,3632,650,418,0.0,0.6430769230769231,3.0,0.0,0.16666666666666666,0.2581988897471611,0.14285714285714285,0.6888888888888889,23.0,0.36111111111111116,1.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.14122741292200278,0.14762934108736195,0.10737465498298361,0.5787347678207425,18.804164321890827,0.27659751916556874,-2.719189645469893,5.709060213843556,68.89255145338487,0,0
150,3635,2432,420,0.0,0.17269736842105265,3.0,0.25,0.5714285714285714,0.8164965809277259,0.6666666666666666,0.9076923076923077,12.0,0.5384615384615384,2.0,14.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.5,0.0,0.0,0.5521164021164021,17.0,0.19047619047619047,2.0,10.0,0.9011273827366353,0,1
151,3642,2674,426,0.0,0.15931189229618548,3.0,0.25,0.6296296296296297,0.5773502691896258,0.4,0.9478260869565217,6.0,0.7391304347826086,11.0,17.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.3333333333333333,0.0,0.0,0.8345238095238096,13.0,0.45833333333333337,1.0,11.0,0.9494996955547915,0,1
